iter	RMSE
0	2.192979036
1	2.185633662
2	2.179653151
3	2.17054974
4	2.163928113
5	2.155988631
6	2.146648901
7	2.141698532
8	2.134605488
9	2.126995362
10	2.118313761
11	2.110719945
12	2.103915357
13	2.096214564
14	2.089529978
15	2.082915603
16	2.078524029
17	2.077043642
18	2.070936664
19	2.066010519
20	2.058590309
21	2.052077936
22	2.044410721
23	2.038237244
24	2.031748094
25	2.025573755
26	2.018910015
27	2.012961409
28	2.009112139
29	2.00545683
30	2.001905931
31	1.997943221
32	1.991831516
33	1.990233338
34	1.985628467
35	1.980070836
36	1.974861495
37	1.968413821
38	1.964578147
39	1.957692339
40	1.952501298
41	1.94725353
42	1.94116044
43	1.934661917
44	1.92897077
45	1.925142125
46	1.920658833
47	1.914691455
48	1.911331947
49	1.905894822
50	1.903222331
51	1.897975731
52	1.893223977
53	1.887155276
54	1.883531084
55	1.879082409
56	1.877590197
57	1.872715018
58	1.870128214
59	1.86699071
60	1.862994639
61	1.857238701
62	1.853795315
63	1.848208819
64	1.844996571
65	1.84067069
66	1.83695996
67	1.836050511
68	1.831532334
69	1.830954253
70	1.828909778
71	1.828048341
72	1.824032457
73	1.821438254
74	1.817209883
75	1.813802567
76	1.809175902
77	1.806349986
78	1.803634166
79	1.801208843
80	1.798251072
81	1.794669781
82	1.793744602
83	1.790051519
84	1.787918392
85	1.784833599
86	1.782096523
87	1.780507229
88	1.778529749
89	1.774736497
90	1.770685729
91	1.766709196
92	1.763654941
93	1.76131088
94	1.758542265
95	1.756594084
96	1.753550062
97	1.750919417
98	1.750916685
99	1.747544234
100	1.744045911
101	1.739518712
102	1.736735629
103	1.734316039
104	1.731018843
105	1.729062999
106	1.728391516
107	1.725608423
108	1.722777633
109	1.720968413
110	1.716817544
111	1.714017531
112	1.713652969
113	1.711664808
114	1.710201163
115	1.708663342
116	1.706464882
117	1.705456618
118	1.704117597
119	1.700808617
120	1.6981344
121	1.697931242
122	1.695576919
123	1.693120893
124	1.690939636
125	1.690798468
126	1.690340674
127	1.688315333
128	1.687243507
129	1.683735486
130	1.682278946
131	1.680869626
132	1.679617398
133	1.676128556
134	1.674340005
135	1.671690176
136	1.668905628
137	1.668195417
138	1.665723234
139	1.665317047
140	1.662932258
141	1.659999457
142	1.658639577
143	1.656020555
144	1.652915685
145	1.651199857
146	1.648734511
147	1.646691388
148	1.643535561
149	1.640898847
150	1.639165816
151	1.637073167
152	1.633941913
153	1.630873481
154	1.628923317
155	1.626204564
156	1.625082856
157	1.622894889
158	1.62129142
159	1.619220365
160	1.615868112
161	1.613087766
162	1.611133176
163	1.609687588
164	1.608419645
165	1.605842534
166	1.60433853
167	1.602916331
168	1.601459942
169	1.599022096
170	1.596104008
171	1.59479106
172	1.593086344
173	1.59041648
174	1.590206621
175	1.588812352
176	1.586208551
177	1.5847178
178	1.582732145
179	1.580335272
180	1.57776709
181	1.575342959
182	1.572845497
183	1.571345156
184	1.568641788
185	1.567720757
186	1.565871834
187	1.565443111
188	1.56447831
189	1.562805418
190	1.561667698
191	1.561621481
192	1.560363558
193	1.558579908
194	1.557947961
195	1.556897992
196	1.556134999
197	1.553252579
198	1.55162654
199	1.551168217
200	1.548408741
201	1.546928047
202	1.546694709
203	1.5446743
204	1.542714943
205	1.541293161
206	1.539658
207	1.538554902
208	1.534987505
209	1.534288945
210	1.532364226
211	1.530802176
212	1.529731167
213	1.52791357
214	1.527718111
215	1.52560165
216	1.523770631
217	1.522059114
218	1.519712361
219	1.519210019
220	1.518673955
221	1.517146354
222	1.515909698
223	1.514567549
224	1.513364526
225	1.513266226
226	1.510489888
227	1.509808865
228	1.507959881
229	1.506466187
230	1.505564313
231	1.504315936
232	1.502059629
233	1.499282337
234	1.49840487
235	1.495777152
236	1.49383309
237	1.493170086
238	1.490702169
239	1.48832297
240	1.486805049
241	1.484473091
242	1.483303928
243	1.481440742
244	1.479689446
245	1.476950822
246	1.473937089
247	1.472845393
248	1.471191237
249	1.471127733
250	1.469778362
251	1.468311662
252	1.467369184
253	1.466321855
254	1.465099377
255	1.463404891
256	1.462996858
257	1.460132406
258	1.45961681
259	1.45853481
260	1.45685152
261	1.453958686
262	1.452241871
263	1.450770472
264	1.449202051
265	1.446955677
266	1.445489893
267	1.444238275
268	1.442884762
269	1.440582919
270	1.438109543
271	1.436765528
272	1.436685626
273	1.43340662
274	1.430391082
275	1.429908816
276	1.429180944
277	1.427144645
278	1.424318718
279	1.422435342
280	1.421080317
281	1.418802129
282	1.416778738
283	1.41462965
284	1.412787978
285	1.411215052
286	1.408893818
287	1.405894397
288	1.404097833
289	1.403093334
290	1.400604325
291	1.398289949
292	1.395220537
293	1.394002321
294	1.39248677
295	1.390775862
296	1.38889416
297	1.386420304
298	1.383421236
299	1.382156042
300	1.380851731
301	1.379273951
302	1.377159494
303	1.374879917
304	1.37374811
305	1.371328542
306	1.369567567
307	1.367285107
308	1.366505909
309	1.364835736
310	1.364199392
311	1.361294221
312	1.359288134
313	1.358729947
314	1.358159181
315	1.357176731
316	1.35489651
317	1.354325611
318	1.351728513
319	1.351570994
320	1.349253854
321	1.346515209
322	1.345663745
323	1.345054333
324	1.342530725
325	1.341352237
326	1.340773602
327	1.337533772
328	1.336444612
329	1.334841935
330	1.332985765
331	1.332526096
332	1.329545533
333	1.327728758
334	1.326710387
335	1.325217908
336	1.324721652
337	1.323987478
338	1.32118922
339	1.319309182
340	1.316793266
341	1.315915287
342	1.314543043
343	1.3140875
344	1.311480364
345	1.310683571
346	1.309198358
347	1.306860672
348	1.304482853
349	1.302440425
350	1.299990822
351	1.297696291
352	1.296105201
353	1.295644328
354	1.295025139
355	1.293735426
356	1.292934158
357	1.292216818
358	1.290494663
359	1.287766806
360	1.28699689
361	1.286029872
362	1.284164176
363	1.283364362
364	1.282525583
365	1.280762548
366	1.27857261
367	1.276249568
368	1.27560174
369	1.274517928
370	1.272867198
371	1.2719838
372	1.270933539
373	1.269908411
374	1.268961833
375	1.268224882
376	1.267408782
377	1.264729352
378	1.262694562
379	1.260383131
380	1.259631973
381	1.258915542
382	1.25610857
383	1.255256889
384	1.253311503
385	1.251573827
386	1.250735428
387	1.249249429
388	1.246326768
389	1.243877404
390	1.241279267
391	1.238612156
392	1.237285102
393	1.234823586
394	1.232318411
395	1.231767736
396	1.230444056
397	1.227841143
398	1.227279884
399	1.224987665
400	1.22257904
401	1.221069301
402	1.220396205
403	1.219601548
404	1.217448362
405	1.215323767
406	1.212996985
407	1.210539937
408	1.208190596
409	1.2073739
410	1.205503911
411	1.204947224
412	1.202931407
413	1.201611277
414	1.201252637
415	1.19944862
416	1.198885324
417	1.198094338
418	1.197403246
419	1.195446349
420	1.193585538
421	1.191681464
422	1.191223266
423	1.190733349
424	1.190065617
425	1.187759202
426	1.18500411
427	1.182864271
428	1.180679986
429	1.179985515
430	1.178197142
431	1.177850556
432	1.177029488
433	1.174895965
434	1.173942598
435	1.173742653
436	1.171742362
437	1.169558444
438	1.167374784
439	1.166508073
440	1.163637418
441	1.162256072
442	1.160237164
443	1.159538895
444	1.158502649
445	1.155823521
446	1.154582274
447	1.152865266
448	1.151930691
449	1.151456008
450	1.150478113
451	1.148686026
452	1.148037813
453	1.146088412
454	1.145023476
455	1.144387859
456	1.142398314
457	1.141951423
458	1.140843781
459	1.140399976
460	1.13997906
461	1.139371854
462	1.137994552
463	1.136054624
464	1.134374917
465	1.133353325
466	1.131800199
467	1.12969147
468	1.127039631
469	1.126099618
470	1.12389085
471	1.1233029
472	1.122836944
473	1.121772651
474	1.120353946
475	1.11871361
476	1.116694648
477	1.116364775
478	1.115026024
479	1.113476846
480	1.113004652
481	1.112474499
482	1.110566189
483	1.109106707
484	1.107691274
485	1.107188087
486	1.106822393
487	1.106382542
488	1.104828633
489	1.104617545
490	1.103871365
491	1.102353088
492	1.101578173
493	1.100860088
494	1.100632193
495	1.100363606
496	1.098515242
497	1.096215191
498	1.095023442
499	1.093068914
500	1.091127471
501	1.089598277
502	1.088809589
503	1.08834659
504	1.087601276
505	1.087107813
506	1.085811886
507	1.084520458
508	1.083125343
509	1.082937681
510	1.081446161
511	1.080184247
512	1.079435531
513	1.077079181
514	1.075689924
515	1.075272242
516	1.074692013
517	1.073843334
518	1.071681179
519	1.069683758
520	1.069226195
521	1.06879348
522	1.068414606
523	1.066425207
524	1.065326259
525	1.063364616
526	1.063085412
527	1.062827211
528	1.060611299
529	1.058336715
530	1.056791769
531	1.056263821
532	1.054301691
533	1.053804513
534	1.053574117
535	1.053205009
536	1.052895788
537	1.051693403
538	1.050266783
539	1.049135252
540	1.048043901
541	1.046258303
542	1.046016593
543	1.044011983
544	1.043817188
545	1.043597709
546	1.042206366
547	1.041697166
548	1.040561224
549	1.03999404
550	1.038794985
551	1.038609274
552	1.037289585
553	1.037276003
554	1.035665565
555	1.035280401
556	1.034946995
557	1.033192502
558	1.032767672
559	1.03152666
560	1.030154264
561	1.029140002
562	1.027921814
563	1.027355587
564	1.026994137
565	1.026199242
566	1.025055219
567	1.024455302
568	1.024128461
569	1.022733436
570	1.022060782
571	1.021652908
572	1.020647028
573	1.020618289
574	1.020434377
575	1.01921466
576	1.018921195
577	1.017099417
578	1.015106805
579	1.014271574
580	1.0139734
581	1.012722544
582	1.012376035
583	1.011236196
584	1.009948902
585	1.009389232
586	1.008761672
587	1.008521299
588	1.007344207
589	1.00707156
590	1.00691123
591	1.004658893
592	1.004419872
593	1.004268428
594	1.002691439
595	1.002151837
596	1.001706372
597	1.001459919
598	1.000250263
599	0.9999634208
600	0.9997646452
601	0.9981736856
602	0.9964313631
603	0.9948102036
604	0.9947832617
605	0.994093355
606	0.9935335012
607	0.9933786023
608	0.9922613391
609	0.9918606885
610	0.9909701239
611	0.9907840607
612	0.9904511729
613	0.9901387076
614	0.9886103773
615	0.988265144
616	0.9882414211
617	0.9873057193
618	0.9852403265
619	0.9850155266
620	0.9843085133
621	0.9834839128
622	0.9822626951
623	0.9808314997
624	0.9796586359
625	0.9794493991
626	0.9786561651
627	0.9776107692
628	0.97611713
629	0.9759067732
630	0.9744538031
631	0.9742533034
632	0.9726632289
633	0.9714529425
634	0.9704650565
635	0.9697362061
636	0.969588686
637	0.9694326389
638	0.9680956885
639	0.9668309357
640	0.9656300787
641	0.9640224115
642	0.9636406434
643	0.9633575541
644	0.9631168173
645	0.9622785177
646	0.960647428
647	0.9605332034
648	0.9592758148
649	0.9589596278
650	0.9576862012
651	0.9557690926
652	0.9545744072
653	0.9532610418
654	0.9528776061
655	0.9526148958
656	0.9521347233
657	0.9512206911
658	0.9495713909
659	0.949249618
660	0.9475536113
661	0.945900454
662	0.9457134643
663	0.9446512547
664	0.9444309972
665	0.9432838079
666	0.9428618115
667	0.9424459445
668	0.942237671
669	0.9409114467
670	0.9394127624
671	0.9390065691
672	0.9388080511
673	0.9373170647
674	0.9358081868
675	0.9341335458
676	0.9328456302
677	0.9324990333
678	0.9310492668
679	0.9299409173
680	0.9284359393
681	0.9270772934
682	0.9262706265
683	0.9253443869
684	0.9248704914
685	0.9244180579
686	0.9241490013
687	0.9231557636
688	0.9230353404
689	0.9223538207
690	0.9220355302
691	0.9218511994
692	0.9204325886
693	0.9202862109
694	0.9185760194
695	0.9171584717
696	0.9169108456
697	0.9159593694
698	0.9155913987
699	0.9153630174
700	0.9152394238
701	0.9150852821
702	0.9145335037
703	0.9140502258
704	0.9127287382
705	0.911276188
706	0.9105300892
707	0.9101450113
708	0.9099272151
709	0.9086392394
710	0.9084324536
711	0.9082600842
712	0.9072595389
713	0.9060364428
714	0.9056753633
715	0.9048668891
716	0.9046975262
717	0.9044875594
718	0.9032141069
719	0.9020556976
720	0.9010176492
721	0.8996089253
722	0.8993901619
723	0.8990058357
724	0.897331159
725	0.8971767899
726	0.8969894908
727	0.8958454152
728	0.8955312884
729	0.8942476784
730	0.8936200217
731	0.893028138
