iter	Passed	Remaining
0	111	725045
1	210	684986
2	250	543321
3	275	446812
4	373	484894
5	451	488852
6	488	453543
7	510	414329
8	556	401718
9	575	373681
10	612	361333
11	668	361299
12	748	373368
13	805	373067
14	812	351145
15	863	350131
16	888	338718
17	891	320876
18	936	319495
19	1004	325465
20	1131	349060
21	1220	359505
22	1302	366742
23	1361	367303
24	1465	379571
25	1548	385593
26	1781	427215
27	1859	429861
28	1920	428442
29	1953	421266
30	1988	414987
31	2035	411523
32	2148	420974
33	2170	412714
34	2207	407670
35	2297	412495
36	2368	413786
37	2487	423007
38	2567	425384
39	2669	431122
40	2750	433337
41	2830	435285
42	2907	436577
43	2973	436274
44	3060	439049
45	3134	439750
46	3211	440876
47	3326	447103
48	3367	443380
49	3415	440656
50	3437	434729
51	3481	431738
52	3544	431197
53	3641	434744
54	3749	439419
55	3959	455621
56	3977	449548
57	4056	450567
58	4099	447560
59	4168	447428
60	4234	446938
61	4269	443332
62	4305	439933
63	4370	439539
64	4429	438556
65	4495	438214
66	4563	438175
67	4565	431855
68	4670	435321
69	4689	430721
70	4740	429214
71	4768	425678
72	4839	426063
73	4909	426371
74	4985	427114
75	5053	427116
76	5133	428217
77	5198	428025
78	5271	428470
79	5336	428224
80	5425	429981
81	5509	431185
82	5523	427017
83	5567	425285
84	5620	424181
85	5669	422852
86	5776	425821
87	5843	425812
88	5872	422993
89	6105	434861
90	6145	432785
91	6242	434806
92	6304	434361
93	6330	431389
94	6371	429606
95	6415	427985
96	6449	425743
97	6483	423566
98	6502	420460
99	6585	421453
100	6653	421553
101	6730	422195
102	6798	422244
103	6892	423871
104	6946	423083
105	7023	423664
106	7059	421793
107	7153	423369
108	7246	424911
109	7324	425488
110	7351	423162
111	7385	421223
112	7423	419583
113	7470	418464
114	7516	417323
115	7562	416220
116	7661	417993
117	7721	417602
118	7784	417415
119	7852	417512
120	7943	418790
121	7965	416427
122	8032	416452
123	8112	417140
124	8225	419519
125	8266	418168
126	8303	416702
127	8374	416901
128	8403	415037
129	8460	414568
130	8495	413049
131	8520	411068
132	8534	408551
133	8600	408603
134	8665	408567
135	8767	410277
136	8839	410556
137	8912	410872
138	8970	410506
139	9000	408861
140	9086	409784
141	9168	410497
142	9241	410841
143	9323	411539
144	9379	411099
145	9422	410089
146	9477	409611
147	9552	409966
148	9598	409107
149	9648	408461
150	9706	408103
151	9778	408399
152	9808	406872
153	9844	405687
154	9863	403768
155	9893	402339
156	9936	401434
157	10009	401793
158	10082	402111
159	10155	402408
160	10260	403979
161	10332	404239
162	10392	404035
163	10428	402888
164	10453	401359
165	10491	400308
166	10553	400202
167	10608	399840
168	10668	399670
169	10707	398711
