,nace_level_2_code,coefficient_scope_,coefficient_scope_2
0,1,-6.072209393050918e-12,-3.667925571045825e-11
1,2,1.2260724183583076e-09,1.1559233998598404e-10
2,6,9.098040483172543e-11,1.1451670253866648e-10
3,7,5.897094506687372e-10,5.722437879712453e-10
4,8,-4.4686101932605055e-10,-3.176958604984563e-11
5,9,8.208929759243168e-10,6.380106599445391e-09
6,10,3.6391736207722283e-10,7.927017490760437e-11
7,11,1.966881898561081e-10,1.2910222648205832e-10
8,13,1.7416094124166246e-10,6.210373876556822e-10
9,14,2.4846293580624835e-11,-2.9651978358079495e-11
10,15,9.110239154158347e-10,2.9119037659697797e-10
11,16,1.3334888190506854e-11,3.4986372858604325e-12
12,17,1.60000122782437e-10,5.397331838337036e-10
13,18,3.03779995236726e-10,6.691345583702048e-10
14,20,1.0896157837646295e-10,9.45822679543481e-11
15,21,2.8911754108612385e-10,3.230217072462792e-10
16,22,1.7827603949811454e-11,4.323501202577277e-10
17,23,6.165801788927835e-10,2.2881621535782493e-10
18,24,-5.80307278930955e-10,-2.1296616589673354e-10
19,25,9.445265299662037e-11,6.220459925349591e-11
20,26,-1.2212400133998505e-10,-1.3427761380170905e-10
21,27,6.855855782893502e-11,1.166921941121997e-10
22,28,6.817630936977747e-11,1.3984910553838563e-11
23,29,-1.6046751048573342e-11,-1.1862497096050867e-11
24,30,-2.7871405407663744e-11,6.701767286143757e-11
25,31,2.615980188192818e-11,-1.7152888263114537e-11
26,32,1.6912252427966673e-10,-1.664805456239456e-10
27,33,-1.7497852998663087e-10,-1.7096149385094083e-09
28,35,6.064472083312943e-11,9.153587932812144e-12
29,37,-4.034345153077758e-10,-7.615685642425938e-11
30,38,2.942794269087542e-10,7.176628427202765e-11
31,39,1.4209864393005068e-09,6.425000847154301e-11
32,41,2.195286967056533e-10,1.5935557378441217e-11
33,42,2.609582795486061e-10,6.12803670915607e-11
34,43,6.966491653560983e-11,6.528688712599807e-12
35,45,1.5991300732401585e-10,7.658070788060799e-12
36,46,-1.2704992643652762e-11,-6.450336107034029e-11
37,47,4.621759610688637e-11,7.747735151315654e-11
38,49,5.450539154343017e-10,1.3961138738655492e-10
39,50,9.901681006763216e-10,-2.36439043042908e-09
40,51,-1.4836805802652928e-09,2.3273262069030692e-09
41,52,3.705291194385114e-10,1.7056850856294224e-10
42,53,2.130184088458331e-10,2.932483194307152e-10
43,55,5.352001053491316e-10,2.3874894731647665e-09
44,56,1.9604855424186393e-11,1.846741184160615e-11
45,58,1.390913423167912e-10,1.8042557722439351e-10
46,59,5.049040325962685e-10,1.6315654730983858e-09
47,60,3.9455498983285595e-10,1.2689876632398784e-09
48,61,2.5061319489637628e-11,1.5068053801964084e-10
49,62,6.682974047539801e-11,8.696008605288184e-10
50,63,3.647439217322049e-11,-1.5317312076692055e-11
51,64,3.4391193890252087e-10,9.096202288144638e-11
52,65,-2.702405972864745e-11,3.3364539760555135e-11
53,66,5.830612217209868e-10,1.257078611475109e-09
54,68,-2.4172356512463836e-10,-8.086088222145649e-11
55,69,2.339092287202637e-10,-9.648668351955057e-11
56,70,1.3261104207459307e-10,2.4191746860864657e-10
57,71,-1.696178211574932e-10,-2.4317052645678217e-11
58,72,7.814367705007957e-10,5.063774710295708e-10
59,73,-4.476848701189085e-10,-1.4506361617006028e-09
60,74,6.90641717340379e-10,1.4353439326011013e-09
61,75,3.1569290698477065e-11,4.039383408634414e-12
62,77,1.235105042999174e-10,1.4911792685739297e-10
63,78,-3.710708706266535e-10,1.2794131788888987e-10
64,79,1.3047946607628413e-09,2.400761182777592e-09
65,80,3.390453812239513e-10,-8.080391266606724e-11
66,81,8.349397310121369e-11,-3.501204953660318e-11
67,82,2.762946784170802e-10,1.3928923014833445e-10
68,84,2.1788744489901877e-10,1.656092605262962e-09
69,85,9.961291405544462e-10,2.028071289630955e-09
70,86,3.4479064648253274e-11,2.8852317867570416e-12
71,87,6.297982094781031e-10,7.775691219122416e-10
72,88,2.9496877534890606e-11,-5.330256231140025e-10
73,90,-1.0770827685543352e-10,-1.7908388290967837e-09
74,92,-3.037263578599034e-10,-1.5828120009575969e-09
75,93,2.0315169015038854e-10,3.817787498135239e-11
76,95,3.848487979025323e-12,-1.7897128851786277e-11
77,96,6.087809947741982e-11,-1.791958160866224e-10
78,97,2.9653361660736287e-10,-2.6719978609705482e-09
